id,type,name,date_of_birth,date_of_death
m.0110qjzf,people.deceased_person,Sam Morrish,2007,2010-12-23
m.0110z0bs,people.person,Troy Starrett,1990-12-16,
m.0111t7dd,people.person,Putri Titian,1991-04-07,
m.0112dvc0,people.person,Carmela Rey,1931,
m.0112p_x4,people.person,Daniel Ferreira,1998,
m.01136mpl,people.person,Scott Volkers,1958-10-25,
m.0113h3n_,people.deceased_person,Charles A. Goheen,1843-08-05,1889-05-08
m.0113l817,people.person,Tery Hare,1951-05-18,
m.0113lclr,people.deceased_person,John C. Gilmore,1837-04-18,1922-12-22
m.0113lnyb,people.person,Bill Morrissey,1986-08-16,
m.0113n1p1,people.person,Sergio Ruffino,1980-02-19,
m.0113s0mp,people.person,Jorma Kairimo,1948-11-30,
m.0113w810,people.deceased_person,Kirsten Saerens,1938,2011-01-26
m.0113wj5b,people.person,Konstantinos Kamperis,1996-07-10,
m.0113xz4d,people.person,Agnar Höskuldsson,1939,
m.011412fj,people.person,Gaetano Dolenti,1991-05-16,
m.011425ft,people.person,Anders Thomsen,1995-07-29,
m.01144z78,people.person,Grigoris Kyziridis,1990-10-24,
m.01145yvs,people.person,Ram Khatabakhsh,1985-12-07,
m.0114bw8y,people.person,Γιώργος Κωτσαλάς,1995-01-04,
m.0114cj2j,people.person,Meilani Alexandra Mathews,2014-07-13,
m.0114cr1t,people.person,Oleg Moguchov,1963-10-23,
m.0114d770,people.person,Bogić Bogićević,1955-04-18,
m.0114jsx_,people.deceased_person,Ingvar Ericsson,1914-01-05,1995-04-21
m.0114ky6l,people.person,Nikita Kamalov,1995-08-08,
m.0114kzj7,people.person,Aroha Savage,1990-03-11,
m.0114m0wz,people.deceased_person,Jimmy McCree,1902-11-16,
m.0114mtsk,people.person,Matej Kochan,1992-11-21,
m.0114ngz4,people.person,Franz Neuens,1912-09-06,1985-04-24
m.0114q27r,people.person,He Xiaopeng,1977-11-03,
m.0114qlgs,people.person,Julie Verhoeven,1969,
m.0114w___,people.person,Doris Knox,1916-07-14,1998-07-29
m.0114wk6q,people.person,Sara Lewerth,1980-03-17,
m.0114yw7j,people.person,Rachelle Goulding,1986-05-21,
m.0115cvd9,people.person,Edmondo Mastriani,1851-06,1875-11-13
m.0115cxrz,people.person,Mochika Yamada,2004-08-11,
m.0115hj3f,people.person,Jirí Kaluzný,1962,
m.0115jbgk,people.person,Jacob Swanson,1982-01-01,
m.0115nk4f,people.deceased_person,Tristan Meinecke,1916,2004
m.0115p5sj,people.person,Lily Osman Adams,1865,1945
m.0115pjqj,people.person,Shannon Willoughby,1982-01-15,
m.0115q7rk,people.person,Orczán László,1912-06-18,
m.0115r31d,people.person,Rich Bentz,1957,
m.0115tgvj,people.person,Kai-Hsun Chuang,1981-03-22,
m.0115tj3s,people.person,Tobias M. Huber,1988-08-27,
m.0115txd8,people.person,Franco Gatti,1942-10-04,
m.0115vr_d,people.person,Paolo Laganà,1986-10-28,
m.01161cxv,people.person,Sean Brennan,1986-01-01,
m.01165hq9,people.person,Wojciech Łuszczykiewicz,1979-02-28,
m.0116d3h6,people.person,Jang Hyuk-jin,1993-12-20,
m.0116hprp,people.person,Moldyansyah Kusnadi,1975-12-26,
m.0116r_n7,people.person,Eliseo Insfrán,1935-10-27,
m.0116rtsm,people.person,Valerio Veronese,1958-09-02,
m.0116sbvp,people.person,Rustem Bulatov,1980-07-26,
m.0116vsj8,people.person,Rafael De Paula,1991-03-24,
m.0117whvs,people.person,Konrad Wojda,1975-05-25,
m.01183wdq,people.person,Roberto Gonzalo,1972-06-07,
m.011898x_,people.person,Fabrice Quagliotti,1961-02-12,
m.0118q1x2,people.person,Tom Pinkson,1945,
m.0118vbt6,people.person,José Carlos Fausto Monroy,1989-03-08,
